suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,source_url
South Wharf,3006,,,,,https://www.realestate.com.au/vic/south-wharf-3006/
South Yarra,3141,2050000,928,2.8,2.5,https://www.realestate.com.au/vic/south-yarra-3141/
Southbank,3006,476000,698,3.7,-62.2,https://www.realestate.com.au/vic/southbank-3006/
Spotswood,3015,1155000,750,3.4,-4.4,https://www.realestate.com.au/vic/spotswood-3015/
Springvale,3171,935000,640,3.6,12.7,https://www.realestate.com.au/vic/springvale-3171/
Springvale South,3172,863000,640,3.8,4.9,https://www.realestate.com.au/vic/springvale-south-3172/
St Albans,3021,724000,500,3.6,10.5,https://www.realestate.com.au/vic/st-albans-3021/
St Helena,3088,1150000,750,3.5,-3.1,https://www.realestate.com.au/vic/st-helena-3088/
St Kilda,3182,1620000,850,2.8,-7.4,https://www.realestate.com.au/vic/st-kilda-3182/
St Kilda East,3183,1709000,890,2.9,1.9,https://www.realestate.com.au/vic/st-kilda-east-3183/
St Kilda West,3182,2370000,1175,2.9,7.2,https://www.realestate.com.au/vic/st-kilda-west-3182/
Strathmore,3041,1550000,800,2.9,-5.8,https://www.realestate.com.au/vic/strathmore-3041/
Strathmore Heights,3041,1165000,740,3.3,16.5,https://www.realestate.com.au/vic/strathmore-heights-3041/
Strathtulloh,3338,630000,470,3.9,0.5,https://www.realestate.com.au/vic/strathtulloh-3338/
Sunbury,3429,720000,550,3.9,6.7,https://www.realestate.com.au/vic/sunbury-3429/
Sunshine,3020,861500,525,3.2,12,https://www.realestate.com.au/vic/sunshine-3020/
Sunshine North,3020,776000,540,3.5,5.6,https://www.realestate.com.au/vic/sunshine-north-3020/
Sunshine West,3020,760000,500,3.5,11,https://www.realestate.com.au/vic/sunshine-west-3020/
Surrey Hills,3127,2201000,900,2.3,-4.9,https://www.realestate.com.au/vic/surrey-hills-3127/
Sydenham,3037,750500,500,3.6,10,https://www.realestate.com.au/vic/sydenham-3037/
Tarneit,3029,675000,523,4.1,3.9,https://www.realestate.com.au/vic/tarneit-3029/
Taylors Hill,3037,922500,560,3.4,7,https://www.realestate.com.au/vic/taylors-hill-3037/
Taylors Lakes,3038,973000,580,3.3,5.2,https://www.realestate.com.au/vic/taylors-lakes-3038/
Tecoma,3160,914250,675,4,4.9,https://www.realestate.com.au/vic/tecoma-3160/
Templestowe,3106,1655500,913,3.2,-2.6,https://www.realestate.com.au/vic/templestowe-3106/
Templestowe Lower,3107,1365000,750,3.1,1.1,https://www.realestate.com.au/vic/templestowe-lower-3107/
The Basin,3154,916500,650,3.8,5.3,https://www.realestate.com.au/vic/the-basin-3154/
Thomastown,3074,785000,530,3.8,8.1,https://www.realestate.com.au/vic/thomastown-3074/
Thornbury,3071,1465000,800,3,8.6,https://www.realestate.com.au/vic/thornbury-3071/
Thornhill Park,3335,620750,450,4.2,5.4,https://www.realestate.com.au/vic/thornhill-park-3335/
Toorak,3142,4575000,1500,1.9,-20.1,https://www.realestate.com.au/vic/toorak-3142/
Tootgarook,3941,890000,588,4.1,4.6,https://www.realestate.com.au/vic/tootgarook-3941/
Tottenham,3012,,,,,https://www.realestate.com.au/vic/tottenham-3012/
Travancore,3032,1250000,760,3,-33.3,https://www.realestate.com.au/vic/travancore-3032/
Truganina,3029,675050,520,4.2,2.6,https://www.realestate.com.au/vic/truganina-3029/
Tullamarine,3043,820000,585,3.7,11.7,https://www.realestate.com.au/vic/tullamarine-3043/
Upper Ferntree Gully,3156,920001,660,3.6,5.1,https://www.realestate.com.au/vic/upper-ferntree-gully-3156/
Upwey,3158,880000,720,4,0,https://www.realestate.com.au/vic/upwey-3158/
Vermont,3133,1348000,680,3,9.6,https://www.realestate.com.au/vic/vermont-3133/
Vermont South,3133,1520000,750,2.9,3.7,https://www.realestate.com.au/vic/vermont-south-3133/
Viewbank,3084,1193500,695,3,1.9,https://www.realestate.com.au/vic/viewbank-3084/
Wantirna,3152,1166500,680,3.3,6.1,https://www.realestate.com.au/vic/wantirna-3152/
Wantirna South,3152,1292500,680,3.3,5.9,https://www.realestate.com.au/vic/wantirna-south-3152/
Warrandyte,3113,1487500,850,3.5,5.8,https://www.realestate.com.au/vic/warrandyte-3113/
Warrandyte South,3134,2505000,1175,3.2,3.5,https://www.realestate.com.au/vic/warrandyte-south-3134/
Warranwood,3134,1285000,800,3.7,-3.4,https://www.realestate.com.au/vic/warranwood-3134/
Waterways,3195,1600000,900,3.3,8.4,https://www.realestate.com.au/vic/waterways-3195/
Watsonia,3087,1010000,580,3.3,6.7,https://www.realestate.com.au/vic/watsonia-3087/
Watsonia North,3087,945500,620,3.4,5.1,https://www.realestate.com.au/vic/watsonia-north-3087/
Wattle Glen,3096,1061000,725,3.8,1.1,https://www.realestate.com.au/vic/wattle-glen-3096/
Weir Views,3338,620000,460,3.7,7.3,https://www.realestate.com.au/vic/weir-views-3338/
Werribee,3030,660000,470,3.7,7.8,https://www.realestate.com.au/vic/werribee-3030/
West Footscray,3012,1022444,650,3.1,12.4,https://www.realestate.com.au/vic/west-footscray-3012/
West Melbourne,3003,1405000,780,3.4,8.2,https://www.realestate.com.au/vic/west-melbourne-3003/
Westmeadows,3049,744500,550,4,11.1,https://www.realestate.com.au/vic/westmeadows-3049/
Wheelers Hill,3150,1507000,750,2.8,7.6,https://www.realestate.com.au/vic/wheelers-hill-3150/
Williams Landing,3027,867500,600,3.9,7.5,https://www.realestate.com.au/vic/williams-landing-3027/
Williamstown,3016,1585000,800,2.7,4.6,https://www.realestate.com.au/vic/williamstown-3016/
Williamstown North,3016,1235000,770,3,-3.1,https://www.realestate.com.au/vic/williamstown-north-3016/
Windsor,3181,1401500,850,3.2,2.1,https://www.realestate.com.au/vic/windsor-3181/
Wollert,3750,712000,560,4.3,3.6,https://www.realestate.com.au/vic/wollert-3750/
Wonga Park,3115,1700000,835,3.6,4.9,https://www.realestate.com.au/vic/wonga-park-3115/
Wyndham Vale,3024,615000,450,3.8,6,https://www.realestate.com.au/vic/wyndham-vale-3024/
Yallambie,3085,1003750,650,3.2,-2.1,https://www.realestate.com.au/vic/yallambie-3085/
Yarraville,3013,1185000,700,3.1,5.3,https://www.realestate.com.au/vic/yarraville-3013/
