suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,sales_price_growth_pct_yoy,rental_price_growth_pct_yoy,source_url
Cloverdale,6105,855000,700,17.9,7.7,https://reiwa.com.au/suburb/cloverdale/
Cockburn Central,6164,890000,810,12.7,30.6,https://reiwa.com.au/suburb/cockburn-central/
Como,6152,1600000,850,12.7,6.3,https://reiwa.com.au/suburb/como/
Connolly,6027,1370000,975,24.6,8.3,https://reiwa.com.au/suburb/connolly/
Coogee,6166,1430000,1050,7.5,32.1,https://reiwa.com.au/suburb/coogee/
Coolbellup,6163,916000,700,16.6,0,https://reiwa.com.au/suburb/coolbellup/
Coolbinia,6050,2100000,1375,22.8,61.8,https://reiwa.com.au/suburb/coolbinia/
Cooloongup,6168,725000,650,15.1,16.1,https://reiwa.com.au/suburb/cooloongup/
Cottesloe,6011,3330000,1625,5.6,32.7,https://reiwa.com.au/suburb/cottesloe/
Craigie,6025,951000,750,17.3,10.8,https://reiwa.com.au/suburb/craigie/
Crawley,6009,1820000,920,30.3,6.4,https://reiwa.com.au/suburb/crawley/
Cullacabardee,6067,,,,,https://reiwa.com.au/suburb/cullacabardee/
Currambine,6028,1020000,850,11.1,12.6,https://reiwa.com.au/suburb/currambine/
Daglish,6008,1970000,1175,14.1,17.5,https://reiwa.com.au/suburb/daglish/
Dalkeith,6009,4100000,1375,17.1,-8.3,https://reiwa.com.au/suburb/dalkeith/
Darch,6065,1090000,870,13.2,16,https://reiwa.com.au/suburb/darch/
Darling Downs,6122,1510000,,81.9,,https://reiwa.com.au/suburb/darling-downs/
Darlington,6070,1290000,,12.4,,https://reiwa.com.au/suburb/darlington/
Dayton,6055,800000,715,11.1,-2.1,https://reiwa.com.au/suburb/dayton/
Dianella,6059,1165000,750,23.9,7.1,https://reiwa.com.au/suburb/dianella/
Doobarda,6112,,,,,https://reiwa.com.au/suburb/doobarda/
Doubleview,6018,1400000,950,14.8,18.8,https://reiwa.com.au/suburb/doubleview/
Duncraig,6023,1400000,917,11.1,17.3,https://reiwa.com.au/suburb/duncraig/
East Cannington,6107,830000,750,16.9,0,https://reiwa.com.au/suburb/east-cannington/
East Fremantle,6158,2203000,1000,10.1,-2.4,https://reiwa.com.au/suburb/east-fremantle/
East Perth,6004,1720000,900,7.2,9.1,https://reiwa.com.au/suburb/east-perth/
East Rockingham,6168,,,,,https://reiwa.com.au/suburb/east-rockingham/
East Victoria Park,6101,1180000,735,17.4,0,https://reiwa.com.au/suburb/east-victoria-park/
Eden Hill,6054,880000,800,21.2,23.1,https://reiwa.com.au/suburb/eden-hill/
Edgewater,6027,1030000,780,16.2,12.2,https://reiwa.com.au/suburb/edgewater/
Eglinton,6034,790000,680,12.9,4.6,https://reiwa.com.au/suburb/eglinton/
Ellenbrook,6069,800000,750,16.8,5.6,https://reiwa.com.au/suburb/ellenbrook/
Embleton,6062,982000,765,18.3,7,https://reiwa.com.au/suburb/embleton/
Ferndale,6148,813000,660,10.9,-5,https://reiwa.com.au/suburb/ferndale/
Floreat,6014,2380000,910,11,-24.2,https://reiwa.com.au/suburb/floreat/
Forrestdale,6112,880000,750,11.7,1.4,https://reiwa.com.au/suburb/forrestdale/
Forrestfield,6058,835000,750,19.3,15.4,https://reiwa.com.au/suburb/forrestfield/
Fremantle,6160,1580000,887,17.3,7.5,https://reiwa.com.au/suburb/fremantle/
Garden Island,N/A,,,,,https://reiwa.com.au/suburb/garden-island/
Gidgegannup,6083,1130000,1250,55.9,27.6,https://reiwa.com.au/suburb/gidgegannup/
Girrawheen,6064,757000,650,16.5,0,https://reiwa.com.au/suburb/girrawheen/
Glen Forrest,6071,1167500,750,25.5,-5.9,https://reiwa.com.au/suburb/glen-forrest/
Glendalough,6016,898000,775,11.2,3.3,https://reiwa.com.au/suburb/glendalough/
Gnangara,6077,957500,,16.8,,https://reiwa.com.au/suburb/gnangara/
Golden Bay,6174,820000,650,21.5,8.3,https://reiwa.com.au/suburb/golden-bay/
Gooseberry Hill,6076,1287500,,14.7,,https://reiwa.com.au/suburb/gooseberry-hill/
Gorrie,N/A,,,,,https://reiwa.com.au/suburb/gorrie/
Gosnells,6110,712000,650,16.7,8.3,https://reiwa.com.au/suburb/gosnells/
Greenmount,6056,878000,695,13.6,6.9,https://reiwa.com.au/suburb/greenmount/
Greenwood,6024,1000000,780,13.6,12.2,https://reiwa.com.au/suburb/greenwood/
Guildford,6055,1100000,700,10,0,https://reiwa.com.au/suburb/guildford/
Gwelup,6018,1680000,900,8.9,-25,https://reiwa.com.au/suburb/gwelup/
Hacketts Gully,6076,,,,,https://reiwa.com.au/suburb/hacketts-gully/
Hamersley,6022,1040000,750,10.7,0,https://reiwa.com.au/suburb/hamersley/
Hamilton Hill,6163,955000,795,12.4,14.4,https://reiwa.com.au/suburb/hamilton-hill/
Hammond Park,6164,930000,795,14,9.7,https://reiwa.com.au/suburb/hammond-park/
Harrisdale,6112,987000,785,16.1,6.1,https://reiwa.com.au/suburb/harrisdale/
Haynes,6112,787000,710,13.6,4.4,https://reiwa.com.au/suburb/haynes/
Hazelmere,6055,1000000,,22,,https://reiwa.com.au/suburb/hazelmere/
Heathridge,6027,920000,700,15,0,https://reiwa.com.au/suburb/heathridge/
Helena Valley,6056,1030000,790,17.1,12.9,https://reiwa.com.au/suburb/helena-valley/
Henderson,6166,,,,,https://reiwa.com.au/suburb/henderson/
Henley Brook,6055,888000,830,16.7,14.2,https://reiwa.com.au/suburb/henley-brook/
Herdsman,6017,,,,,https://reiwa.com.au/suburb/herdsman/
Herne Hill,6056,753000,,-20.8,,https://reiwa.com.au/suburb/herne-hill/
High Wycombe,6057,845000,732,19.9,12.6,https://reiwa.com.au/suburb/high-wycombe/
Highgate,6003,1370000,775,8.1,4.7,https://reiwa.com.au/suburb/highgate/
Hilbert,6112,780000,680,16.4,3,https://reiwa.com.au/suburb/hilbert/
Hillarys,6025,1650000,1100,16.9,41.9,https://reiwa.com.au/suburb/hillarys/
Hillman,6168,690000,570,12.2,0.5,https://reiwa.com.au/suburb/hillman/
Hilton,6163,1200000,890,31.4,-1.1,https://reiwa.com.au/suburb/hilton/
Hocking,6065,930000,850,13.7,17.2,https://reiwa.com.au/suburb/hocking/
Hope Valley,6165,,,,,https://reiwa.com.au/suburb/hope-valley/
Hopeland,6125,,,,,https://reiwa.com.au/suburb/hopeland/
Hovea,6071,,650,,,https://reiwa.com.au/suburb/hovea/
Huntingdale,6110,784000,770,11.4,10,https://reiwa.com.au/suburb/huntingdale/
Iluka,6028,1650000,1100,9.8,0,https://reiwa.com.au/suburb/iluka/
Inglewood,6052,1600000,900,24,12.5,https://reiwa.com.au/suburb/inglewood/
Innaloo,6018,1010000,825,13.5,4.8,https://reiwa.com.au/suburb/innaloo/
Jandabup,6077,,,,,https://reiwa.com.au/suburb/jandabup/
Jandakot,6164,1250000,912,14.2,1.3,https://reiwa.com.au/suburb/jandakot/
Jane Brook,6056,981000,810,13.4,8,https://reiwa.com.au/suburb/jane-brook/
Jarrahdale,6124,823000,680,-14.8,0,https://reiwa.com.au/suburb/jarrahdale/
Jindalee,6036,1130000,850,31.4,13.3,https://reiwa.com.au/suburb/jindalee/
Jolimont,6014,2050000,1600,2.5,77.8,https://reiwa.com.au/suburb/jolimont/
Joondalup,6027,965000,750,14.7,15.4,https://reiwa.com.au/suburb/joondalup/
Joondanna,6060,1180000,850,18.6,25,https://reiwa.com.au/suburb/joondanna/
Kalamunda,6076,1100000,750,23.9,-15.7,https://reiwa.com.au/suburb/kalamunda/
Kallaroo,6025,1380000,772,14.6,-3.5,https://reiwa.com.au/suburb/kallaroo/
Karawara,6152,975000,760,4.3,14.8,https://reiwa.com.au/suburb/karawara/
Kardinya,6163,1240000,825,18.8,4.4,https://reiwa.com.au/suburb/kardinya/
Karnup,6176,780000,650,13.9,0,https://reiwa.com.au/suburb/karnup/
Karragullen,6111,798000,,8.1,,https://reiwa.com.au/suburb/karragullen/
Karrakatta,N/A,,,,,https://reiwa.com.au/suburb/karrakatta/
Karrakup,6122,,,,,https://reiwa.com.au/suburb/karrakup/
Karrinyup,6018,1630000,1000,9.6,11.1,https://reiwa.com.au/suburb/karrinyup/
